id,title,genres,release_date,revenue,budget,country
38317,Zookeeper,Comedy|Romance|Family,2011.0,169852759,80000000,United States of America
100042,Dumb and Dumber To,Comedy,2014.0,169837010,40000000,United States of America
11321,Seven Pounds,Drama,2008.0,168167691,55000000,United States of America
166424,Fantastic Four,Action|Adventure|Science Fiction,2015.0,167977596,120000000,United States of America
44048,Unstoppable,Action|Thriller,2010.0,167805466,100000000,United States of America
77930,Magic Mike,Drama|Comedy,2012.0,167221571,7000000,United States of America
296098,Bridge of Spies,Thriller|Drama,2015.0,165478348,40000000,India
64328,The Muppets,Comedy|Family|Music,2011.0,165184237,45000000,United States of America
290595,The Huntsman: Winter's War,Action|Adventure|Drama,2016.0,164602163,115000000,United States of America
12193,Four Christmases,Comedy|Romance|Drama,2008.0,163733697,80000000,United States of America
4944,Burn After Reading,Comedy|Drama,2008.0,163720069,37000000,United States of America
1724,The Incredible Hulk,Science Fiction|Action|Adventure,2008.0,163712074,150000000,United States of America
22947,Up in the Air,Drama|Romance,2009.0,163670000,25000000,United States of America
227306,Unbroken,Drama|War,2014.0,163442937,65000000,United States of America
8645,The Happening,Thriller|Science Fiction,2008.0,163403799,60000000,United States of America
8204,The Spiderwick Chronicles,Adventure|Family|Fantasy,2008.0,162839667,90000000,United States of America
87502,Flight,Drama,2012.0,161772375,31000000,United States of America
117263,Olympus Has Fallen,Action|Thriller,2013.0,161025640,70000000,United States of America
216282,Into the Storm,Action|Thriller,2014.0,160602194,50000000,United States of America
11253,Hellboy II: The Golden Army,Adventure|Fantasy|Science Fiction,2008.0,160388063,85000000,Germany
6557,27 Dresses,Comedy|Romance,2008.0,160259319,30000000,United States of America
52520,Underworld: Awakening,Fantasy|Action|Horror,2012.0,160112671,70000000,United States of America
58233,Johnny English Reborn,Crime|Adventure|Action|Comedy|Thriller,2011.0,160078586,45000000,United Kingdom
41233,Step Up 3D,Drama|Romance,2010.0,159291809,30000000,United States of America
136795,The Heat,Action|Comedy|Crime,2013.0,158674180,43000000,United States of America
257445,Goosebumps,Adventure|Horror|Comedy,2015.0,158162788,58000000,Australia
55779,Final Destination 5,Horror|Mystery,2011.0,157887643,47000000,United States of America
20504,The Book of Eli,Action|Thriller|Science Fiction,2010.0,157107755,80000000,United States of America
59962,This Means War,Action|Comedy|Romance,2012.0,156974557,65000000,United States of America
365222,Ip Man 3,Action|Drama|History,2015.0,156844753,36000000,Hong Kong
273248,The Hateful Eight,Crime|Drama|Mystery|Western,2015.0,155760117,44000000,United States of America
18126,Hannah Montana: The Movie,Comedy|Drama|Family|Music|Romance,2009.0,155545279,35000000,United States of America
13811,Knowing,Action|Adventure|Drama|Mystery|Science Fiction|Thriller,2009.0,155446362,50000000,United Kingdom
152760,The Monuments Men,War|Drama|History|Action,2014.0,154984035,70000000,Germany
23168,The Town,Crime|Drama|Thriller,2010.0,154026136,37000000,United States of America
168530,Ride Along,Action|Comedy,2014.0,153997819,25000000,United States of America
256591,Focus,Romance|Comedy|Crime|Drama,2015.0,153962963,50100000,United States of America
59108,Tower Heist,Action|Comedy,2011.0,152930623,75000000,United States of America
35056,Date Night,Comedy,2010.0,152263880,55000000,United States of America
208134,Bad Grandpa,Comedy,2013.0,151831537,15000000,United States of America
7461,Vantage Point,Drama|Action|Thriller|Crime,2008.0,151161491,40000000,United States of America
59436,Midnight in Paris,Fantasy|Comedy|Romance,2011.0,151119219,30000000,Spain
64686,47 Ronin,Drama|Action|Adventure|Fantasy,2013.0,150962475,175000000,United States of America
8328,Step Up 2: The Streets,Music|Drama|Romance,2008.0,150816700,23000000,United States of America
205584,Gods of Egypt,Fantasy,2016.0,150680864,140000000,Australia
50544,Friends with Benefits,Romance|Comedy,2011.0,150483765,35000000,United States of America
65759,Happy Feet Two,Animation|Comedy|Family,2011.0,150406466,130000000,Australia
18487,The Taking of Pelham 1 2 3,Thriller|Drama|Crime,2009.0,150166126,100000000,United States of America
71880,Jack and Jill,Comedy,2011.0,149673788,79000000,United States of America
193756,Lone Survivor,Action|Drama|Thriller|War,2013.0,149295601,40000000,United States of America
14405,Beverly Hills Chihuahua,Adventure|Comedy|Family,2008.0,149281606,20000000,United States of America
71676,Ghost Rider: Spirit of Vengeance,Action|Fantasy|Thriller,2011.0,149217355,57000000,United Arab Emirates
41630,No Strings Attached,Comedy|Romance,2011.0,147780440,25000000,United States of America
45612,Source Code,Thriller|Science Fiction|Mystery,2011.0,147332697,32000000,Canada
274854,The Last Witch Hunter,Fantasy|Action|Adventure,2015.0,146936910,90000000,United States of America
132232,Mama,Horror,2013.0,146497771,15000000,Spain
76726,Chronicle,Science Fiction|Drama|Thriller,2012.0,145000000,15000000,United States of America
46529,I Am Number Four,Action|Thriller|Science Fiction|Adventure,2011.0,144492830,50000000,United States of America
294272,Pete's Dragon,Adventure|Family|Fantasy,2016.0,143695338,65000000,United States of America
50646,"Crazy, Stupid, Love.",Comedy|Drama|Romance,2011.0,142851197,50000000,United States of America
82990,Paranormal Activity 4,Horror,2012.0,142817992,5000000,United States of America
62838,New Year's Eve,Comedy|Romance,2011.0,142044638,56000000,United States of America
271718,Trainwreck,Comedy,2015.0,140795793,35000000,United States of America
223702,Sausage Party,Adventure|Animation|Comedy|Fantasy,2016.0,140752617,19000000,Canada
85446,Step Up Revolution,Music|Drama|Romance,2012.0,140470746,33000000,United States of America
41216,Legend of the Guardians: The Owls of Ga'Hoole,Animation|Adventure|Family|Fantasy,2010.0,140073390,80000000,Australia
39538,Contagion,Drama|Thriller|Science Fiction,2011.0,137551594,60000000,United States of America
74534,The Best Exotic Marigold Hotel,Drama|Comedy,2011.0,136836156,10000000,United Arab Emirates
193893,Let's Be Cops,Comedy,2014.0,136621271,17000000,United States of America
16996,17 Again,Comedy,2009.0,136267476,20000000,United States of America
41439,Saw: The Final Chapter,Horror|Crime,2010.0,136150434,20000000,Canada
27573,The Bounty Hunter,Action,2010.0,136000000,40000000,United States of America
33909,Wall Street: Money Never Sleeps,Drama|Crime,2010.0,134748021,70000000,United States of America
137093,Last Vegas,Comedy,2013.0,134402450,28000000,United States of America
196867,Annie,Comedy|Drama|Family,2014.0,133821816,65000000,United States of America
257088,Point Break,Action|Crime|Thriller,2015.0,133718711,105000000,Germany
74643,The Artist,Drama|Comedy|Romance,2011.0,133432856,15000000,Belgium
318846,The Big Short,Comedy|Drama,2015.0,133346506,28000000,United States of America
2395,Asterix at the Olympic Games,Fantasy|Adventure|Comedy|Family,2008.0,132900000,97250400,Belgium
97630,Zero Dark Thirty,Thriller|Drama|History,2012.0,132820716,40000000,United States of America
52451,The Three Musketeers,Adventure|Action|Thriller,2011.0,132274484,75000000,United States of America
136400,2 Guns,Action|Comedy|Crime,2013.0,131940411,61000000,United States of America
48138,Unknown,Action|Mystery|Thriller,2011.0,130786397,30000000,France
83542,Cloud Atlas,Drama|Science Fiction,2012.0,130482868,102000000,Germany
24803,Julie & Julia,Romance|Drama,2009.0,129540499,40000000,United States of America
266647,Pan,Adventure|Family|Fantasy,2015.0,128388320,150000000,United States of America
12133,Step Brothers,Comedy,2008.0,128107642,65000000,United States of America
1729,The Forbidden Kingdom,Action|Adventure|Fantasy,2008.0,127906624,55000000,China
38050,The Adjustment Bureau,Science Fiction|Thriller|Romance,2011.0,127869379,50200000,United States of America
12289,Red Cliff,Adventure|Drama|Action,2008.0,127814609,80341000,China
65086,The Woman in Black,Drama|Horror|Thriller,2012.0,127730736,17000000,Canada
22803,Law Abiding Citizen,Drama|Crime|Thriller,2009.0,126690726,53000000,United States of America
240832,Lucy,Action|Science Fiction,2014.0,126546825,40000000,France
77951,Walking With Dinosaurs,Animation|Family|Adventure,2013.0,126546518,80000000,Australia
34851,Predators,Action|Science Fiction|Adventure|Thriller,2010.0,126248813,40000000,United States of America
225886,Sex Tape,Comedy,2014.0,126069509,40000000,United States of America
109414,This Is the End,Action|Comedy,2013.0,126041322,32000000,United States of America
80274,Ender's Game,Science Fiction|Action|Adventure,2013.0,125537191,110000000,United States of America
323675,Ride Along 2,Action|Comedy,2016.0,124827316,40000000,United States of America
14836,Coraline,Animation|Family,2009.0,124596398,60000000,United States of America
50014,The Help,Drama,2011.0,124272124,25000000,India
266856,The Theory of Everything,Drama|Romance,2014.0,123726688,15000000,United Kingdom
232672,Blended,Comedy,2014.0,123494610,40000000,United States of America
107846,Escape Plan,Action|Thriller,2013.0,122915111,50000000,United States of America
264999,Magic Mike XXL,Comedy|Drama|Music,2015.0,122513057,14800000,United States of America
19959,Surrogates,Action|Science Fiction|Thriller,2009.0,122444772,80000000,United States of America
22954,Invictus,Drama|History,2009.0,122233971,60000000,United States of America
146233,Prisoners,Drama|Thriller|Crime,2013.0,122126687,46000000,United States of America
300168,Dragon Blade,Action|Drama|Adventure,2015.0,121545703,65000000,Hong Kong
74465,We Bought a Zoo,Drama|Comedy|Family,2011.0,120081841,50000000,United States of America
88042,Parental Guidance,Comedy,2012.0,119772232,25000000,United States of America
332567,The Shallows,Horror|Drama|Thriller,2016.0,119100758,17000000,United States of America
316727,The Purge: Election Year,Action|Horror|Thriller,2016.0,118587880,10000000,France
72197,The Pirates! In an Adventure with Scientists!,Animation|Adventure|Family|Comedy,2012.0,118338361,60000000,United Kingdom
76649,Pompeii,Action|Adventure|History|Romance|Drama,2014.0,117831631,130000000,Canada
75656,Now You See Me,Thriller|Crime,2013.0,117698894,75000000,United States of America
16290,Jackass 3D,Comedy|Documentary|Action,2010.0,117224271,20000000,United States of America
51540,Horrible Bosses,Comedy|Crime,2011.0,117000000,35000000,United States of America
82654,Warm Bodies,Horror|Comedy|Romance,2013.0,116980662,35000000,Canada
132363,The Butler,Drama,2013.0,115922175,25000000,United States of America
114150,Pitch Perfect,Comedy|Music|Romance,2012.0,115350426,17000000,United States of America
22971,Dear John,Drama|Romance|War,2010.0,114977104,25000000,United States of America
71688,The Iron Lady,History|Drama,2011.0,114956699,13000000,France
10521,Bride Wars,Comedy,2009.0,114663461,30000000,United States of America
82696,Hope Springs,Drama|Comedy|Romance,2012.0,114281051,30000000,United States of America
68737,Seventh Son,Adventure|Fantasy,2014.0,114178613,95000000,China
55787,Water for Elephants,Drama|Romance,2011.0,114156230,38000000,United States of America
11917,Saw V,Horror|Thriller|Crime,2008.0,113857533,10800000,United States of America
12113,Body of Lies,Action|Drama|Thriller,2008.0,113280098,70000000,United States of America
3580,Changeling,Crime|Drama|Mystery,2008.0,113020255,55000000,United States of America
8055,The Reader,Drama|Romance,2008.0,113019290,32000000,Germany
140823,Saving Mr. Banks,Comedy|Drama|History,2013.0,112544580,35000000,Australia
39691,Cats & Dogs 2 : The Revenge of Kitty Galore,Comedy|Family,2010.0,112483764,85000000,United States of America
259694,How to Be Single,Comedy|Romance,2016.0,112343513,38000000,United States of America
72331,Abraham Lincoln: Vampire Hunter,Action|Fantasy|Horror,2012.0,112265139,69000000,United States of America
257091,Get Hard,Comedy,2015.0,111811453,40000000,United States of America
8676,Fool's Gold,Romance|Comedy|Adventure,2008.0,111231041,70000000,United States of America
60308,Moneyball,Drama,2011.0,110206216,50000000,United States of America
175574,Free Birds,Animation|Comedy|Family,2013.0,110000000,55000000,United States of America
299687,The 5th Wave,Adventure|Science Fiction,2016.0,109906372,38000000,United States of America
238636,The Purge: Anarchy,Horror|Thriller,2014.0,108782847,9000000,France
325133,Neighbors 2: Sorority Rising,Comedy,2016.0,108758521,35000000,United States of America
48340,Sanctum,Action|Thriller,2011.0,108609310,30000000,United States of America
333371,10 Cloverfield Lane,Thriller|Science Fiction|Drama,2016.0,108286421,15000000,United States of America
170687,The Boxtrolls,Animation|Comedy|Family|Fantasy,2014.0,108255770,60000000,United States of America
203801,The Man from U.N.C.L.E.,Comedy|Action|Adventure,2015.0,108145109,75000000,United States of America
