rank,title,studio,lifetime_gross,year
383,Slumdog Millionaire,FoxS,141319928,2008
390,Taken 2,Fox,139854287,2012
394,Ocean's 8,WB,138876427,2018
395,The King's Speech,Wein.,138797449,2010
399,21 Jump Street,Sony,138447667,2012
401,Split,Uni.,138291365,2017
402,A Christmas Carol (2009),BV,137855863,2009
404,The Conjuring,WB (NL),137400141,2013
406,Ready Player One,WB,137018455,2018
411,Argo,WB,136025503,2012
418,Ride Along,Uni.,134938200,2014
419,The Incredible Hulk,Uni.,134806913,2008
421,Wanted,Uni.,134508551,2008
422,Identity Thief,Uni.,134506920,2013
426,Grown Ups 2,Sony,133668525,2013
428,Angels & Demons,Sony,133375846,2009
429,Alvin and the Chipmunks: Chipwrecked,Fox,133110742,2011
431,The Wolverine,Fox,132556852,2013
432,Wonder,LGF,132422809,2017
435,Silver Linings Playbook,Wein.,132092958,2012
438,The Last Airbender,Par.,131772187,2010
439,Rio 2,Fox,131538435,2014
445,Get Smart,WB,130319208,2008
446,The Divergent Series: Insurgent,LG/S,130179072,2015
447,The Peanuts Movie,Fox,130178411,2015
448,Transformers: The Last Knight,Par.,130168683,2017
455,Ghostbusters (2016),Sony,128350574,2016
456,Kingsman: The Secret Service,Fox,128261724,2015
460,Shutter Island,Par.,128012934,2010
461,Into the Woods,BV,128002372,2014
464,The Curious Case of Benjamin Button,Par.,127509326,2008
465,Central Intelligence,WB (NL),127440871,2016
466,Anchorman 2: The Legend Continues,Par.,127352707,2013
471,Super 8,Par.,127004179,2011
475,Lucy,Uni.,126663600,2014
476,The Legend of Tarzan,WB,126643061,2016
478,Prometheus,Fox,126477084,2012
479,Safe House,Uni.,126373434,2012
484,Terminator Salvation,WB,125322469,2009
487,Lone Survivor,Uni.,125095601,2013
488,Sully,WB,125070033,2016
490,The Vow,SGem,125014030,2012
491,Life of Pi,Fox,124987023,2012
492,The Fault in our Stars,Fox,124872350,2014
493,Cloudy with a Chance of Meatballs,Sony,124870275,2009
500,Rango,Par.,123477607,2011
502,The Good Dinosaur,BV,123087120,2015
503,G.I. Joe: Retaliation,Par.,122523060,2013
513,Inglourious Basterds,Wein.,120540719,2009
516,Four Christmases,WB (NL),120146040,2008
519,Cloudy with a Chance of Meatballs 2,Sony,119793567,2013
523,G-Force,BV,119436770,2009
526,The Other Guys,Sony,119219978,2010
534,Salt,Sony,118311368,2010
536,Now You See Me,LG/S,117723989,2013
539,Horrible Bosses,WB (NL),117538559,2011
541,Jackass 3-D,Par.,117229692,2010
544,The Wolf of Wall Street,Par.,116900694,2013
547,Lee Daniels' The Butler,Wein.,116632095,2013
548,Green Lantern,WB,116601172,2011
554,District 9,TriS,115646235,2009
555,Unbroken,Uni.,115637895,2014
556,Mamma Mia! Here We Go Again,Uni.,115267110,2018
557,Peter Rabbit,Sony,115253424,2018
558,Girls Trip,Uni.,115171585,2017
562,Fifty Shades Darker,Uni.,114581250,2017
565,Bolt,BV,114053579,2008
567,Night at the Museum: Secret of the Tomb,Fox,113746621,2014
568,Magic Mike,WB,113721571,2012
571,Bad Moms,STX,113257297,2016
572,The Bourne Legacy,Uni.,113203870,2012
576,It's Complicated,Uni.,112735375,2009
580,The Hangover Part III,WB,112200072,2013
586,Mr. Peabody & Sherman,Fox,111506430,2014
589,Spy,Fox,110825712,2015
590,Tropic Thunder,P/DW,110515313,2008
591,Valentine's Day,WB (NL),110485654,2010
595,Trainwreck,Uni.,110212700,2015
596,Bedtime Stories,BV,110101975,2008
598,Creed,WB (NL),109767581,2015
602,Couples Retreat,Uni.,109204945,2009
610,Hop,Uni.,108085305,2011
612,Paranormal Activity,Par.,107918810,2009
613,Baby Driver,TriS,107825862,2017
615,Epic,Fox,107518682,2013
616,Watchmen,WB,107509799,2009
617,The Angry Birds Movie,Sony,107509366,2016
619,Captain Phillips,Sony,107100855,2013
620,Black Swan,FoxS,106954678,2010
626,300: Rise of An Empire,WB,106580051,2014
633,The Meg,WB,105300646,2018
634,Robin Hood,Uni.,105269730,2010
638,Pitch Perfect 3,Uni.,104897530,2017
642,The Princess and the Frog,BV,104400899,2009
643,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104386950,2010
645,Daddy's Home 2,Par.,104029443,2017
646,Paranormal Activity 3,Par.,104028807,2011
647,Journey 2: The Mysterious Island,WB (NL),103860290,2012
649,Rise of the Guardians,P/DW,103412758,2012
652,Independence Day: Resurgence,Fox,103144286,2016
653,The Expendables,LGF,103068524,2010
655,Just Go With It,Sony,103028109,2011
656,Murder on the Orient Express (2017),Fox,102826543,2017
661,The Girl with the Dragon Tattoo (2011),Sony,102515793,2011
662,The Mummy: Tomb of the Dragon Emperor,Uni.,102491776,2008
663,The Conjuring 2,WB (NL),102470008,2016
664,The Maze Runner,Fox,102427862,2014
669,Annabelle: Creation,WB (NL),102092201,2017
670,Jackass Presents: Bad Grandpa,Par.,102003019,2013
671,Pacific Rim,WB,101802906,2013
672,Journey to the Center of the Earth,WB (NL),101704370,2008
676,The Equalizer,Sony,101530738,2014
677,This is the End,Sony,101470202,2013
678,Eagle Eye,P/DW,101440743,2008
683,Noah,Par.,101200044,2014
693,Arrival,Par.,100546139,2016
694,Due Date,WB,100539043,2010
698,A Wrinkle in Time,BV,100478608,2018
700,Step Brothers,Sony,100468793,2008
702,Fifty Shades Freed,Uni.,100407760,2018
705,Bad Teacher,Sony,100292856,2011
706,Yogi Bear,WB,100246011,2010
707,Cowboys & Aliens,Uni.,100240551,2011
708,Kingsman: The Golden Circle,Fox,100234838,2017
709,Edge of Tomorrow,WB,100206256,2014
713,You Don't Mess with the Zohan,Sony,100018837,2008
714,Passengers (2016),Sony,100014699,2016
716,Gnomeo and Juliet,BV,99967670,2011
717,Rampage (2018),WB (NL),99345950,2018
719,Olympus Has Fallen,FD,98925640,2013
720,The Green Hornet,Sony,98780042,2011
721,Date Night,Fox,98711404,2010
723,The Equalizer 2,Sony,98025332,2018
725,Yes Man,WB,97690976,2008
726,Sausage Party,Sony,97685686,2016
728,Public Enemies,Uni.,97104620,2009
729,The Social Network,Sony,96962694,2010
735,Zero Dark Thirty,Sony,95720716,2012
739,Sex and the City 2,WB (NL),95347692,2010
742,42,WB,95020213,2013
744,The Book of Eli,WB,94835059,2010
745,"10,000 B.C.",WB,94784201,2008
746,Beverly Hills Chihuahua,BV,94514402,2008
748,Julie & Julia,Sony,94125426,2009
751,He's Just Not That Into You,WB (NL),93953653,2009
753,Flight,Par.,93772375,2012
754,The Fighter,Par.,93617009,2010
758,Tomorrowland,BV,93436322,2015
759,The Magnificent Seven (2016),Sony,93432655,2016
765,Elysium,TriS,93050117,2013
769,The Town,WB,92186262,2010
770,Non-Stop,Uni.,92168600,2014
772,Blade Runner 2049,WB,92054159,2017
773,John Wick: Chapter Two,LG/S,92029184,2017
775,Think Like a Man,SGem,91547205,2012
777,Heaven is for Real,TriS,91443253,2014
781,Ride Along 2,Uni.,91221830,2016
783,The Imitation Game,Wein.,91125683,2014
787,Prince of Persia: The Sands of Time,BV,90759676,2010
792,High School Musical 3: Senior Year,BV,90559416,2008
793,Tyler Perry's Madea Goes to Jail,LGF,90508336,2009
796,Get Hard,WB,90411453,2015
798,Red,Sum.,90380162,2010
799,Planes,BV,90288712,2013
802,Terminator: Genisys,Par.,89760956,2015
806,The Lone Ranger,BV,89302115,2013
807,Taken 3,Fox,89256424,2015
808,Don't Breathe,SGem,89217875,2016
810,Oblivion,Uni.,89107235,2013
811,The Ugly Truth,Sony,88915214,2009
812,Percy Jackson & The Olympians: The Lightning Thief,Fox,88768303,2010
814,The Muppets,BV,88631237,2011
823,Pineapple Express,Sony,87341380,2008
824,Miss Peregrine's Home for Peculiar Children,Fox,87242834,2016
827,Sisters,Uni.,87044645,2015
830,The Campaign,WB,86907746,2012
835,The Accountant,WB,86260045,2016
836,Dumb and Dumber To,Uni.,86208010,2014
837,The Emoji Movie,Sony,86089513,2017
839,Annie (2014),Sony,85911262,2014
840,Alvin and the Chipmunks: The Road Chip,Fox,85886987,2015
842,Fury (2014),Sony,85817906,2014
844,Real Steel,BV,85468508,2011
846,Power Rangers (2017),LGF,85364450,2017
854,The Expendables 2,LGF,85028192,2012
856,Paranormal Activity 2,Par.,84752907,2010
858,Tammy,WB (NL),84525432,2014
860,Ferdinand,Fox,84410380,2017
861,"Crazy, Stupid, Love.",WB,84351197,2011
862,Annabelle,WB (NL),84273813,2014
867,The Other Woman (2014),Fox,83911193,2014
869,Up in the Air,Par.,83823381,2009
871,Wrath of the Titans,WB,83670083,2012
872,Insidious Chapter 2,FD,83586447,2013
874,Battle: Los Angeles,Sony,83552429,2011
875,Immortals,Rela.,83504017,2011
876,I Can Only Imagine,RAtt.,83482352,2018
880,Penguins of Madagascar,Fox,83350911,2014
881,Saving Mr. Banks,BV,83301580,2013
882,Valkyrie,UA,83077833,2008
884,Turbo,Fox,83028128,2013
892,The Descendants,FoxS,82584160,2011
897,Let's Be Cops,Fox,82390774,2014
903,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,82051601,2016
904,The Post,Fox,81903458,2017
906,Maze Runner: The Scorch Trials,Fox,81697192,2015
910,Unstoppable,Fox,81562942,2010
912,Ted 2,Uni.,81476385,2015
917,21,Sony,81159365,2008
925,Eat Pray Love,Sony,80574010,2010
927,Zookeeper,Sony,80360843,2011
929,What Happens in Vegas,Fox,80277646,2008
933,The Mummy (2017),Uni.,80227895,2017
936,Jumper,Fox,80172128,2008
937,Goosebumps,Sony,80080379,2015
938,Jack Reacher,Par.,80070736,2012
939,Cloverfield,Par.,80048433,2008
941,Dear John,SGem,80014842,2010
943,Knowing,Sum.,79957634,2009
944,War Horse,BV,79884879,2011
946,Dark Shadows,WB,79727149,2012
948,Hannah Montana The Movie,BV,79576189,2009
950,The Day the Earth Stood Still (2008),Fox,79366978,2008
951,Limitless,Rela.,79249455,2011
952,The Purge: Election Year,Uni.,79213375,2016
957,Pixels,Sony,78747585,2015
964,Tower Heist,Uni.,78046570,2011
965,The Monuments Men,Sony,78031620,2014
972,Disney's Christopher Robin,BV,77628783,2018
973,The Adventures of Tintin,Par.,77591831,2011
976,Parental Guidance,Fox,77267296,2012
977,Where the Wild Things Are,WB,77233467,2009
978,The A-Team,Fox,77222099,2010
980,Alice Through the Looking Glass,BV,77041381,2016
981,Crazy Rich Asians,WB,76817947,2018
982,27 Dresses,Fox,76808654,2008
989,Knight & Day,Fox,76423035,2010
991,Paddington,W/Dim.,76271832,2015
994,Pete's Dragon (2016),BV,76233151,2016
997,Hellboy II: The Golden Army,Uni.,75986503,2008
1004,The Intern,WB,75764672,2015
1006,Contagion,WB,75658097,2011
1008,We Bought a Zoo,Fox,75624550,2011
1009,2 Guns,Uni.,75612460,2013
1011,Moneyball,Sony,75605492,2011
1013,Zombieland,Sony,75590286,2009
1017,The Hitman's Bodyguard,LG/S,75468583,2017
1018,The Girl on the Train (2016),Uni.,75395035,2016
1022,Coraline,Focus,75286229,2009
1033,Alien: Covenant,Fox,74262031,2017
1034,Jack and Jill,Sony,74158157,2011
1039,Captain Underpants: The First Epic Movie,Fox,73921000,2017
1040,Hugo,Par.,73864507,2011
1046,Law Abiding Citizen,Over.,73357727,2009
1049,Boo! A Madea Halloween,LGF,73206343,2016
