rank,title,studio,lifetime_gross,year
9808,Call + Response,FTrd.,215185,2008
9809,Neil Young Journeys,SPC,215026,2012
9815,Hell Ride,TRR,213608,2008
9816,Do Knot Disturb,AdL.,213525,2009
9817,Thaandavam,UTV,213476,2012
9820,Supermensch: The Legend of Shep Gordon,RTWC,213064,2014
9822,The Afflicted,Noct.,212940,2011
9823,Chocolate City,Free,212662,2015
9824,Fall in Love Like a Star,CL,212508,2015
9826,Big Sonia,Argo.,212471,2017
9827,Tai Chi Zero,Vari.,212094,2012
9830,Polisse,IFC,211440,2012
9831,Jason Mraz: Have It All The Movie,Atlantic Rec,210985,2018
9832,Somewhere Between,Long Shot,210975,2012
9833,Truman,FR,210840,2017
9834,The House I Live In,Abr.,210752,2012
9835,La Soga,7-57,210625,2010
9836,Wolf Totem,Sony,210591,2015
9839,The Awakening (2012),Cohen,209696,2012
9845,The Breakup Guru,CL,208959,2014
9846,Rob the Mob,MNE,208693,2014
9847,Ho Mann Jahaan,Eros,208611,2016
9848,Dark Places,A24,208588,2015
9852,Agent Mr. Chan,CL,208351,2018
9853,The Girl on the Train,Strand,208023,2010
9854,Arthur Newman,Cdgm.,207853,2013
9855,Seed: The Untold Story,CEye,207825,2016
9856,Under the Electric Sky,Focus,207584,2014
9857,The Prison,WGUSA,207481,2017
9858,Sweetgrass,CGld,207473,2010
9859,CJ7,SPC,207378,2008
9860,Soul Power,SPC,207121,2009
9867,Little White Lies,MPI,206088,2012
9868,Heneral Luna,Abr.,206040,2015
9869,Easy Money (2012),Wein.,205741,2012
9870,Ip Man 2: Legend of the Grandmaster,Vari.,205675,2011
9874,Prince Avalanche,Magn.,205139,2013
9879,The Spy Gone North,CJ,204695,2018
9882,Vettai,UTV,204373,2012
9883,Touchback,Anch.,204232,2012
9886,Kaptaan,UTV,203790,2016
9888,My Father My Lord,Kino,203708,2008
9890,10 Years,Anch.,203373,2012
9892,Ghanchakkar,UTV,203044,2013
9893,Keep the Change,KL,202788,2018
9895,"Filth to Ashes, Flesh to Dust",Noct.,202531,2011
9897,Crystal Fairy,IFC,202370,2013
9898,Jinn,Free,202348,2014
9901,Bethlehem,AF,201700,2014
9904,Tim & Eric's Billion Dollar Movie,Magn.,201436,2012
9905,Any Day Now,MBox,201395,2012
9907,El Clan,FIP,201227,2016
9911,The Burning Plain,Magn.,200730,2009
9913,Zama,Strand,200600,2018
9914,Blackthorn,Magn.,200558,2011
9917,The Double (2014),Magn.,200406,2014
9918,Legendary,Gold.,200393,2010
9920,Gemini,Neon,200340,2018
9921,White Girl,FR,200242,2016
9922,No Place on Earth,Magn.,200238,2013
9923,A Good Old Fashioned Orgy,Gold.,200227,2011
9924,Risk,Neon,200219,2017
9926,Gauguin: Voyage to Tahiti,Cohen,200140,2018
9927,Listen Up Philip,Trib.,200126,2014
9928,Cutie and the Boxer,RTWC,200036,2013
9930,Paa,BPics,199228,2009
9936,South of the Border,CLS,198600,2010
9938,A Summer's Tale,BWP,198126,2014
9940,Main Aurr Mrs. Khanna,UTV,197183,2009
9942,Spark: A Space Tail,ORF,196458,2017
9944,Escobar: Paradise Lost,RTWC,195792,2015
9946,La Traviata at La Scala,Emr.,195494,2008
9947,The Nutcracker in 3D,Free,195459,2010
9950,Herb & Dorothy,Arth.,194721,2009
9953,The Yes Men Fix the World,Shad.,194533,2009
9956,Free Angela and All Political Prisoners,Code,194102,2013
9962,Revanche,Jan.,192451,2009
9964,The Final Year,Magn.,191900,2018
9965,A Simple Life,CL,191826,2012
9966,Complete Unknown,IFC,191761,2016
9967,Gemma Bovery,MBox,191533,2015
9968,Fashion,UTV,191442,2008
9973,The Connection,Drft.,190980,2015
9974,"A Woman, A Gun and A Noodle Shop",SPC,190946,2010
9977,Digimon Adventure tri.,Elev.,190581,2016
9979,Code Black,Long Shot,190229,2014
9980,Midnight's Children,P/108,190022,2013
9981,Shrink,RAtt.,189621,2009
9982,Client 9: The Rise and Fall of Eliot Spitzer,Magn.,189416,2010
9984,Elsa & Fred,Mitro.,189024,2008
9987,Bol,Eros,188850,2011
9988,Love and Lost (Shi Gu),CL,188817,2015
9989,Nick Saban: Gamechanger,FLF,188786,2010
9993,Waste Land,Arth.,187716,2010
9994,Stonewall (2015),RAtt.,187674,2015
9999,Maggie,RAtt.,187112,2015
10000,The Monkey King 3,WGUSA,187074,2018
10001,Goldbuster,WGUSA,186135,2018
10003,Detective K: Secret of the Lost Island,CJ,185367,2015
10004,The Priests,CJ,185093,2015
10007,Amigo,Vari.,184705,2011
10009,Uncle Boonmee Who Can Recall His Past Lives,Strand,184292,2011
10011,The Other Side of Hope,Jan.,183943,2017
10012,Twelve,Hann.,183920,2010
10013,Jig,Scre.,183790,2011
10016,Summer 1993,Osci.,183570,2018
10017,"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby",FRun,183342,2011
10018,Lambert & Stamp,SPC,183320,2015
10022,Whose Streets?,Magn.,182799,2017
10023,The Masked Saint,Free,182695,2016
10025,Karwaan,Pack Your Ba,182009,2018
10028,League of Gods,Sony,181633,2016
10030,Human Centipede,IFC,181467,2010
10034,Winnebago Man,Kino,181039,2010
10036,The Bad Batch,Neon,180851,2017
10037,Marjorie Prime,FR,180608,2017
10038,We Are The Best!,Magn.,180590,2014
10039,An Honest Liar,Abr.,180590,2015
10042,Puella Magi Madoka Magica the Movie,Elev.,180440,2012
10043,Go For It,LGF,180237,2011
10044,Lost Woods,Noct.,180117,2012
10045,Past Life,Orion,180099,2017
10049,Constantine's Sword,FRun,179507,2008
10051,Populaire,Wein.,179091,2013
10052,The Accidental Detective 2: In Action,CJ,179045,2018
10056,Viva,Magn.,178008,2016
10059,Fullmetal Alchemist: The Sacred Star of Milos,Elev.,177802,2012
10060,Tere Naal Love Ho Gaya,UTV,177743,2012
10061,Monumental: In Search of America's National Treasure,AAE,177729,2012
10063,35 Shots of Rum,CGld,177511,2009
10064,Chicago 10,RAtt.,177490,2008
10065,The Wave,Magn.,177404,2016
10067,Anita,Gold.,176979,2014
10068,Mera Pind,AdL.,176976,2008
10069,Casino Jack and the United States of Money,Magn.,176865,2010
10071,The Hunter (2012),Magn.,176669,2012
10073,71 Into the Fire,JS,176638,2010
10074,Serena,Magn.,176391,2015
10075,Leaving,IFC,176113,2010
10076,Take Every Wave: The Life of Liard Hamilton,IFC,176076,2017
10077,Graduation,IFC,175975,2017
10079,A.C.O.D.,TFA,175705,2013
10080,Asura: The City of Madness,CJ,175702,2016
10084,Champion,AAE,175232,2017
10085,Broken Circle Breakdown,Trib.,175058,2013
10087,Evangelion: 3.0 You Can (Not) Redo,Elev.,174945,2014
10088,Afternoon Delight,TFA,174496,2013
10090,The Guardians,MBox,174325,2018
10092,Ashes of Time Redux,SPC,174273,2008
10093,Always at the Carlyle,Good Deed,174251,2018
10094,Somm,Gold.,174197,2013
10095,Grand Illusion (2012 re-release),Rialto,174065,2012
10096,Dark Money,PBS,174060,2018
10097,Mr. Gaga: A True Story of Love and Dance,Abr.,173994,2017
10098,Horns,RTWC,173948,2014
10099,Passport to Love,Vari.,173828,2009
10100,Yellow Day,PFP,173819,2014
10102,The Young & Prodigious T.S. Spivet,Wein.,173564,2015
10103,Cinco De Mayo: La Batalla,LGF,173472,2013
10104,Buybust,WGUSA,173406,2018
10106,My Name Is Bruce,Imag.,173066,2008
10107,The Farewell Party,Gold.,172860,2015
10108,In Search of a Midnight Kiss,IFC,172605,2008
10110,Hieronymus Bosch: Touched by the Devil,KL,172533,2016
10111,Afternoon of a Faun,KL,172450,2014
10112,All Things Must Pass,Grav.,172394,2015
10113,That Demon Within,CL,172343,2014
10114,Youssou N'Dour: I Bring What I Love,Shad.,172225,2009
10115,In This Corner of the World,FUN,172147,2017
10116,Battlefield America,CEB&B,172000,2012
10117,Escape from Tomorrow,PDA,171962,2013
10119,A Brilliant Young Mind,Gold.,171793,2015
10120,Copperhead,FC,171740,2013
10121,David Lynch: The Art Life,Jan.,171419,2017
10125,Terribly Happy,Osci.,170943,2010
10128,Apparition Hill,LFlower,170457,2016
10129,Crude,FRun,170295,2009
10130,Flying Swords of Dragon Gate,IM,170276,2012
10131,9/11,ADC,170000,2017
10132,God's Pocket,IFC,169976,2014
10140,Joker,UTV,169181,2012
10142,Valley of Bones,SG,168738,2017
10143,Chance Pe Dance,UTV,168643,2010
10145,Bellflower,Osci.,168226,2011
10148,Double Lover,Cohen,167581,2018
10149,Genius Within: The Inner Life of Glenn Gould,Lorb.,167508,2010
10151,Mister Lonely,IFC,167396,2008
10153,Still Walking,IFC,167047,2009
10154,The Disappearance of Alice Creed,Anch.,166980,2010
10155,Time Out of Mind,IFC,166775,2015
10159,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,Magn.,166616,2018
10160,R... Rajkumar,Eros,166503,2013
10161,The Fits,Osci.,166425,2016
10163,We Steal Secrets: The Story of Wikileaks,Focus,166243,2013
10164,Dark Horse,BM&DH,166228,2012
10166,Sleepwalking,Over.,166057,2008
10167,Outlander,TRR,166003,2009
10168,De Mai Tinh (Fool for Love),Vari.,165987,2010
10171,A Town Called Panic,Zeit.,165509,2009
10173,Snow Girl and the Dark Crystal,WGUSA,165428,2015
10174,De Palma,A24,165237,2016
10175,Polina,Osci.,165203,2017
10178,On the Job,WGUSA,164620,2013
10179,NAS: Time is Illmatic,Trib.,164540,2014
10183,The Last Godfather,RAtt.,164247,2011
10184,C'Est Si Bon,CJ,164167,2015
10188,Louder than Bombs,Orch.,163807,2016
10189,God Tussi Great Ho,Eros,163756,2008
10190,Keep On Keepin' On,RTWC,163745,2014
10193,Nostalgia for the Light,Icar.,163488,2011
10194,The Last Women Standing,CL,163406,2015
10196,Restless (2011),SPC,163265,2011
10199,5 to 7,IFC,162685,2015
10203,Young Goethe in Love,MBox,162138,2011
10204,After The Ball,Free,161820,2015
10205,Journey's End,Good Deed,161796,2018
10207,13 Minutes,SPC,161531,2017
10208,Terkel in Trouble,Indic.,161457,2010
10211,Pastorela,LGF,161194,2011
10213,3 Hearts,Cohen,161129,2015
10214,Manifesto (2017),FR,161101,2017
10216,Maquia: When the Promised Flower Blooms,Elev.,160988,2018
10222,Sinbad: The Fifth Voyage,GFl,159862,2014
10224,Sunset Song,Magn.,159714,2016
10227,My Winnipeg,IFC,159363,2008
10229,The Witness,FR,159305,2016
10230,Girls Rock!,Shad.,159294,2008
10232,Welcome to the Rileys,Gold.,158898,2010
10233,Tulpan,Zeit.,158741,2009
10234,Human Capital,FM,158549,2015
10235,The Big Picture (2012),MPI,158411,2012
10237,Ex Libris: The New York Public Library,Zipp.,158192,2017
10238,The Housemaid,IFC,157961,2011
10239,Mother of George,Osci.,157937,2013
10240,Crazy Horse,Zipp.,157782,2012
10241,Hell and Back,Free,157768,2015
10242,Chasing Madoff,Cohen,157612,2011
10243,Elles,KL,157508,2012
10244,Eva Hesse,Zeit.,157481,2016
10246,Free the Mind,ICir,157201,2013
10249,LUV,IM,156996,2013
10252,Horse Boy,Zeit.,156612,2009
10254,Deadtime,Noct.,156072,2012
10256,3 Generations,Wein.,155936,2017
10259,Shirin Farhad Ki Toh Nikal Padi,Eros,155758,2012
10261,Experimenter,Magn.,155575,2015
10262,The Journey,IFC,155475,2017
10264,Desert Dancer,Rela.,155271,2015
10267,Bra Boys,Slow,155056,2008
10269,Sister (2012),AF,154659,2012
10271,Magic Trip,Magn.,154521,2011
10272,"Buen Dia, Ramon",FIP,154356,2015
10273,Unforgivable,Strand,154189,2012
10275,A Touch of Sin,KL,154120,2013
10277,Hunger (2008),IFC,154084,2008
10278,Citizen Koch,Vari.,153908,2014
10281,Endless Poetry,Abk.,153440,2017
10282,Alan Partridge: The Movie,Magn.,153426,2014
10284,Sex and Zen 3D: Extreme Ecstasy,CL,153215,2011
10285,Brothers at War,Gold.,153148,2009
10287,Eames: The Architect and the Painter,FRun,153088,2011
10288,Backstreet Boys: Show 'Em What You're Made Of,Grav.,153068,2015
10290,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,KL,152791,2013
10291,Le Quattro Volte,Lorb.,152530,2011
10293,Once Upon a Time in Anatolia,CGld,152408,2012
10295,"Hare Krishna! The Mantra, the Movement and the Swami Who Started it All",Abr.,152284,2017
10296,Snake and Mongoose,RM,152200,2013
10298,The Unknown Woman,Outs,152114,2008
10300,Bullhead,Drft.,151840,2012
10303,Chakravyuh,Eros,151778,2012
10304,Generation Found,Gathr,151751,2016
10306,Red Riding Trilogy,IFC,151644,2010
10307,Samba,BG,151530,2015
10309,Beginning of the Great Revival,CL,151305,2011
10310,Hecho En Mexico,LGF,151133,2012
10312,Dancing in Jaffa,IFC,151098,2014
10315,The Void,Scre.,151042,2017
10316,Revenge of the Electric Car,A23,150886,2011
10317,Simon and the Oaks,TFA,150664,2012
10319,The Tribe,Drft.,150564,2015
10320,The Unknown Girl,IFC,150549,2017
10321,Blade of the Immortal,Magn.,150532,2017
10323,House (re-release),Jan.,150284,2010
10325,A Coffee in Berlin,MBox,150275,2014
10329,Kicks,FCW,150191,2016
10330,Godzilla: The Japanese Original,Rialto,150191,2014
10333,Seasons,MBox,150092,2016
10335,Only the Brave,Indic.,150000,2010
10337,Forever Young (2015),CL,149761,2015
10338,The Other Man,Imag.,149528,2009
10339,Luck,Stu18,149333,2009
10341,Rams (Hrútar),Cohen,149250,2016
10342,Michael Moore In TrumpLand,Moore,149090,2016
10343,Gun Hill Road,MFG,148994,2011
10348,The Patience Stone,SPC,148671,2013
10349,Chavela,MBox,148666,2017
10351,Rangeelay,Eros,148418,2013
10354,Flame & Citron,IFC,148089,2009
10356,Restless Creature: Wendy Whelan,Abr.,147780,2017
10361,Thelma,Orch.,147391,2017
10365,The New Girlfriend,Cohen,146754,2015
10366,Repo: The Genetic Opera,LGF,146750,2008
10367,American Promise,RFG,146702,2013
10369,Touched with Fire,RAtt.,146487,2016
10372,Deadly Renovations,Noct.,146146,2012
10375,I Wish,Magn.,145808,2012
10376,One Day You'll Understand,Kino,145642,2008
10378,Carlos,IFC,145526,2010
10379,The Last Dalai Lama?,Mats.,145524,2017
10380,The Last 5 Years,RTWC,145427,2015
10382,Narco Cultura,Cdgm.,145088,2013
10384,Krisha,A24,144822,2016
10385,The Flyboys,DCoa.,144680,2008
10388,Irving Berlin's Holiday Inn The Broadway,Fathom,144550,2017
10389,Tangerines,Gold.,144501,2015
10390,Last Year at Marienbad (re-issue),Rialto,144492,2008
10392,From Beneath,Noct.,144123,2012
10393,Father of My Children,IFC,144022,2010
10395,Thunder Soul,RAtt.,143986,2011
10396,This Must Be the Place,Wein.,143979,2012
10398,Luv Shuv Tey Chicken Khurana,UTV,143507,2012
10399,Oranges and Sunshine,Cohen,143480,2011
10403,Kids For Cash,Pala.,143178,2014
10405,Manglehorn,IFC,143101,2015
10407,Shelter,Reg.,142666,2008
10408,FLOW: For Love of Water,Osci.,142569,2008
10411,Lupin the Third: The Castle of Cagliostro (2017 re-release),Elev.,142425,2017
10413,John Dies at the End,Magn.,141951,2013
10414,The Human Centipede 2: Full Sequence,IFC,141877,2011
10419,Cold Weather,IFC,141358,2011
10422,Until Forever,Linn,141197,2016
10423,Free Style,Gold.,141108,2009
10430,Gore Vidal: United States of Amnesia,IFC,140164,2014
10431,Baghead,SPC,140106,2008
10432,The Weathered Underground,Indic.,140091,2010
10438,Game (2011),Eros,139528,2011
10442,High School,Anch.,139034,2012
10443,Mistaken for Strangers,Abr.,138991,2014
10446,Good Ol' Freda,Magn.,138811,2013
10447,Chain Letter,NFC,138788,2010
10451,Psycho-Pass: The Movie,FUN,138366,2016
10453,We the Animals,Orch.,138232,2018
10454,Ingrid Bergman: In Her Own Words,Rialto,138148,2015
10455,The Double,Imag.,137921,2011
10456,Love Ranch,E1,137885,2010
10457,The Congress,Drft.,137815,2014
10459,Beloved (2012),IFC,137515,2012
10463,Is the Man Who Is Tall Happy?,IFC,137042,2013
10464,Slaughter Creek,Noct.,136815,2012
10465,The Divine Move,CJ,136707,2014
10469,Warriors of the Rainbow: Seediq Bale,WGUSA,136166,2012
10470,Labios Rojos,LGF,136163,2011
10472,Twenty (2015),CJ,136125,2015
10475,I Will Follow,AFFRM,135809,2011
10476,1911,Vari.,135739,2011
10477,La Sapienza,KL,135392,2015
10478,The Kind Words,Strand,135382,2016
10480,The Other Dream Team,TFA,135228,2012
10481,Ghost Stories,IFC,135095,2018
10482,Tumbledown,SM,135026,2016
10488,Cop Car,Focus,134552,2015
10490,"Life, Above All",SPC,134461,2011
10492,Skate Kitchen,Magn.,134437,2018
10493,Fists of Legend,CJ,134213,2013
10494,ISM,CineGalaxy,134165,2016
10495,Redwood Highway,Mont.,134049,2014
10497,Pure Country 2,WB,133771,2010
10498,The Jewish Cardinal,FM,133663,2014
10500,Evangelion 2.0: You Can (Not) Advance,Elev.,133640,2011
10501,Don't Think I've Forgotten: Cambodia's Lost Rock and Roll,Argo.,133443,2015
10502,The Eclipse,Magn.,133411,2010
10510,Dawson City: Frozen Time,KL,132369,2016
10513,Kumare,KL,132160,2012
10514,How to Survive a Plague,IFC,132055,2012
10516,A Ballerina's Tale,IFC,131995,2015
10517,Hounddog,Emp.,131961,2008
10521,Proud American,Slow,131357,2008
10523,Raja Natwarlal,UTV,131105,2014
10524,Devil and Angel (E Gun Tian Shi),CL,131058,2015
10526,Met Opera: Il Trovatore (2018),Fathom,130579,2018
10529,Mississippi Grind,A24,130541,2015
10530,Until the Light Takes Us,Vari.,130441,2009
10531,Requiem for the American Dream,TFC,130152,2016
10534,Tomboy (2011),Da.,129834,2011
10535,Kung Fu Killer,WGUSA,129784,2015
10539,The Loneliest Planet,IFC,129579,2012
10541,Moka,FM,129547,2017
10542,Boy and the World,GK,129480,2015
10546,I Saw the Devil,Magn.,129210,2011
10547,Fados,Zeit.,129150,2009
10549,Warlords,Magn.,129078,2010
10551,I Called Him Morgan,SD,128986,2017
10554,Eating Animals,IFC,128503,2018
10555,"The Good, the Bad, the Weird",IFC,128486,2010
10556,Alexandra,CGld,128222,2008
10557,Stonewall Uprising,FRun,128203,2010
10558,Drug War,Vari.,128195,2013
10560,City of Ghosts,IFC,128015,2017
10561,Marie Curie: The Courage of Knowledge,Society,127986,2017
10562,The Artist and the Model,Cohen,127958,2013
10564,The Brand New Testament,MBox,127910,2016
10565,Bjork - Biophilia Live,CP,127754,2014
10566,"Lovely, Still",Mont.,127564,2010
10570,A Journey Through Time with Anthony,CL,127381,2015
10572,Monster Family,VPD,127259,2018
10573,A Band Called Death,Drft.,127257,2013
10581,Chimes at Midnight (2016 re-release),Jan.,126724,2016
10583,Forgiveness of Blood,IFC,126700,2012
10585,Far from the Tree,IFC,126556,2018
10588,Escape Fire,RAtt.,126238,2012
10589,Boulevard,SM,126150,2015
10590,"Turn Me On, Dammit!",NYer,126085,2012
10592,Europa Report,Magn.,125687,2013
10593,The Young Karl Marx,Orch.,125659,2018
10594,Spirits' Homecoming,PM&E,125616,2016
10600,Fukrey,Excel,125279,2013
10601,The B-Side: Elsa Dorfman's Portrait Photography,Neon,125227,2017
10602,BPM (Beats Per Minute),Orch.,125189,2017
10603,12,SPC,125120,2009
10604,Make Your Move,HTR,125106,2014
10605,Chop Shop,Koch,125045,2008
10606,Beyond the Hills,IFC,124919,2013
10607,Sweet Bean,KL,124800,2016
10609,Final: The Rapture,RivR,124561,2013
10610,The First Saturday in May,Truly,124294,2008
10611,The Square (2013),Nou,124244,2013
10612,The Thousand Faces Of Dunjia,WGUSA,124187,2017
10614,Knights of Badassdom,EOne,123854,2014
10616,Were the World Mine,SpkP,123789,2008
10618,"War Eagle, Arkansas",Hann.,123670,2009
10620,Centurion,Magn.,123570,2010
10621,What Women Want (Wo Zhi Nu Run Xin) ,CL,123526,2011
10623,Inni,CP,123482,2011
10625,Buena Vista Social Club: Adios,BG,123445,2017
10630,The Last Mountain,Da.,122961,2011
10632,A War,Magn.,122902,2016
10633,The Punk Singer,IFC,122742,2013
10634,Explosion,CL,122700,2017
10635,Street Dreams,Slow,122575,2009
10636,City of Life and Death,Kino,122558,2011
10637,God Bless America,Magn.,122550,2012
10638,Lost and Found in Armenia,HTR,122305,2013
10639,The Secrets,Mont.,122094,2008
10640,Iron Sky,EOne,122082,2012
10644,Z for Zachariah,RAtt.,121461,2015
10648,Afflicted (2014),CBS,121179,2014
10649,In Jackson Heights,Zipp.,121094,2015
10650,Finding Fela,KL,120980,2014
10651,Fire at Sea,KL,120933,2016
10652,Miss Sharon Jones,SM,120880,2016
10655,Hockney,FM,120745,2016
10656,All the Best,Yash,120713,2009
10657,Examined Life,Zeit.,120712,2009
10658,Cowgirls n' Angels,Gold.,120680,2012
10662,Bel Ami,Magn.,120462,2012
10663,Spark: A Burning Man Story,P/FB,120459,2013
10664,Lola Montes (re-issue),Rialto,120306,2008
10665,Trust (2011),MNE,120016,2011
10668,Three,WGUSA,119550,2016
10672,Do I Sound Gay?,IFC,119388,2015
10673,Digging for Fire,Orch.,119364,2015
10674,Valley of the Heart's Delight,Indic.,119290,2010
10676,Remember the Goal,5&2,119100,2016
10678,Tale of Tales,IFC,118925,2016
10679,Kaboom,IFC,118919,2011
10680,Till the End of the World,CL,118660,2018
10682,See What I'm Saying: The Deaf Entertainers Documentary,WP,118206,2010
10684,Katyn,Koch,118095,2009
10685,Victor,CZ,117755,2016
10687,Bullet Vanishes,CL,117629,2012
10691,Storm Surfers 3D,XL,117090,2013
10692,Yossi,Strand,117047,2013
10696,Beware of Mr. Baker,SF,116476,2012
10698,The Undefeated (2011),ArcEnt,116381,2011
10699,The Song of Sparrows,Reg.,116372,2009
10700,Touching Home,CFI,116353,2010
10702,Zero Motivation,Zeit.,116044,2014
10703,Blank City,IR,116037,2011
10704,The Grand,Anch.,115879,2008
10706,Love Live! The School Idol Movie,AZ,115840,2015
10708,The Other End of the Line,MGM,115592,2008
10709,'85: The Greatest Team in Football History,Fathom,115463,2018
10711,Gonjiam: Haunted Asylum,WGUSA,115252,2018
10715,Caged No More,Free,114959,2016
10718,The Greatest (2010),Pala.,114766,2010
10719,Nostalgia,BST,114603,2018
10720,Our Time Will Come,CL,114560,2017
10722,Ballerina,FRun,114507,2009
10727,Ain't In It For My Health: A Film About Levon Helm,KL,113966,2013
10728,The Woman in the Fifth,ATO,113800,2012
10729,35 and Ticking,Imag.,113794,2011
10730,Gentlemen Broncos,FoxS,113682,2009
10731,Boy A,Wein.,113662,2008
10733,Mere Baap Pahle Aap,Shem.,113576,2008
10734,Bran Nue Dae,Free,113568,2010
10736,"We Love You, Sally Carmichael!",Purd.,113435,2017
10737,Abacus: Small Enough to Jail,PBS,113278,2017
10738,God the Father,RM,113276,2014
10739,The King's Choice,Gold.,113231,2017
10740,Road Hard,FB,113169,2015
10741,Love After Love,IFC,113074,2018
10743,The Liberator,Cohen,113067,2014
10745,Monster Beach Party,Indic.,112791,2009
10746,Follow Me: The Yoni Netanyahu Story,ICir,112679,2012
10747,Slack Bay,KL,112621,2017
10750,Spinning Plates,TFA,112449,2013
10751,The Measure of a Man,KL,112391,2016
10753,Killing Kasztner,SkyI,112313,2009
10754,Penton: The John Penton Story,Gathr,112159,2014
10755,Ek Thi Daayan,Eros,112135,2013
10756,Days and Clouds,FM,112102,2008
10757,Marwencol,CGld,112036,2010
10758,She's Funny That Way,LGP,111996,2015
10760,Let it Rain,IFC,111844,2010
10764,1915,BM,111682,2015
10766,Medicine for Melancholy,IFC,111551,2009
10769,Rich Hill,Orch.,111376,2014
10770,Elevator to the Gallows (2016 re-issue),Rialto,111267,2016
10772,Wild Horse Wild Ride,Scre.,111205,2012
10773,Memories of the Sword,WGUSA,111071,2015
10774,The Obama Effect,ArcEnt,110904,2012
10775,The Overnighters,Drft.,110763,2014
10776,Duran Duran: Unstaged,P4,110746,2014
10779,Mysteries of Lisbon,MBox,110507,2011
10780,The Perfect Family,Vari.,110313,2012
10781,Dogtooth,Kino,110248,2010
10782,Life Partner,Stu18,110240,2009
10784,Roar!,Drft.,110048,2015
10786,5 Broken Cameras,KL,109983,2012
10787,Best Worst Movie,Abr.,109895,2010
10788,Lu Over the Wall,GK,109857,2018
10789,Pathology,MGM,109846,2008
10790,Zero Days,Magn.,109649,2016
10791,Anohana The Movie: The Flower We Saw That Day,Elev.,109630,2014
10793,Bustin' Down the Door,Scre.,109427,2008
10794,Blood Done Sign My Name,Pala.,109383,2010
10798,The Look of Silence,Drft.,109089,2015
10799,Trumbo,Gold.,109057,2008
10800,Reset (Ni Shi Ying Jiu),WGUSA,108970,2017
10802,Adult Beginners,RTWC,108808,2015
10804,Undertow (2010),TFC,108620,2010
10805,After.Life,Anch.,108595,2010
10806,Wild Target,Free,108589,2010
10809,Bettie Page Reveals All,MBox,108118,2013
10810,Aferim!,BWP,108110,2016
10811,The Beauty Inside,WGUSA,108083,2015
10813,The Little Mermaid (2018),Conglomerate,108017,2018
10814,In Between,FM,107977,2018
10816,Evangelion 1.0 You Are (Not) Alone,Elev.,107797,2009
10818,Inspector Bellamy,IFC,107612,2010
10821,Like Crazy (2017),Strand,107362,2017
10822,Augustine,MBox,107352,2013
10826,Best Worst Thing That Ever Could Have Happened,Abr.,106986,2016
10829,Ivory Tower,Gold.,106771,2014
10830,Hello I Must Be Going,Osci.,106709,2012
10833,The Way We Get By,ICir,106542,2009
10834,The Romantics,FOAK,106524,2010
10835,Dekalog (2016 re-release),Jan.,106494,2016
10837,Six Dance Lessons in Six Weeks,Da.,106323,2014
10840,Big Star: Nothing Can Hurt Me,Magn.,105998,2013
10842,Steve Jobs: The Lost Interview,Magn.,105710,2011
10843,A Jihad for Love,FRun,105651,2008
10847,Upside Down,MNE,105095,2013
10850,The Chronicles of Evil,CJ,105057,2015
10852,Under the Sun (2016),Icar.,105036,2016
10853,Butter,RTWC,105018,2012
10854,Bronson,Magn.,104979,2009
10856,Fabricated City,CJ,104874,2017
10857,Bolshoi Ballet: Hero of our Time,Fathom,104837,2017
10858,Another Gay Sequel: Gays Gone Wild,TLA,104828,2008
10859,The English Teacher,Cdgm.,104810,2013
10860,Dictator,Eros,104734,2016
10862,Love Songs,IFC,104567,2008
10863,Alien Trespass,RAtt.,104526,2009
10864,Results,Magn.,104507,2015
10865,Blaze (2018),IFC,104476,2018
10866,Gimme the Loot,IFC,104442,2013
10867,Cherry Blossoms,Strand,104433,2009
10868,Carriers,ParV,104352,2009
10869,Ryuichi Sakamoto: Coda,MUBI,104349,2018
10870,Sweet Country (2018),Gold.,104297,2018
10875,Demon,Orch.,104038,2016
10877,Detective K: Secret of the Living Dead,WGUSA,104013,2018
10880,The Investigator,GMF,103739,2013
10883,Every Secret Thing,SM,103536,2015
10887,Rolling,Indic.,103318,2009
10888,Stevie Nicks - In Your Dreams,Abr.,103028,2013
10890,The Golden Era,CL,102931,2014
10892,Puerto Ricans in Paris,FCW,102890,2016
10894,God Help the Girl,Ampl.,102757,2014
10896,Five Seasons: The Gardens of Piet Oudolf,Argo.,102706,2018
10897,Gigantic,FInd.,102704,2009
10898,Saint John of Las Vegas,IVP,102645,2010
10899,Coherence,Osci.,102617,2014
10900,Beaufort,Kino,102591,2008
10901,Henry's Crime,MPFT,102541,2011
10902,Ismael's Ghosts,Magn.,102510,2018
10904,Ong Bak 2: The Beginning,Magn.,102458,2009
10905,The Magic of Belle Isle,Magn.,102388,2012
10908,Afghan Star,Zeit.,102115,2009
10909,Revenge (2018),Neon,102091,2018
10910,Everyone Else,CGld,102042,2010
10911,Computer Chess,KL,102041,2013
10912,Cameraperson,Jan.,102033,2016
10913,Tower,KL,101987,2016
10914,Walking Out,IFC,101947,2017
10915,Therese,MPI,101944,2013
10916,In the Family,ITF,101934,2011
10919,George A. Romero's Survival of the Dead,Magn.,101740,2010
10920,Capital,Cohen,101700,2013
10921,The Lure,Jan.,101657,2017
